"source_term","chosen_arabic","status","adverse_or_rejected","aliases_or_notes","domain_or_context","review_status","review_date","reviewer","evidence_or_rationale"
"Open Logic Project","مشروع المنطق المفتوح","chosen","مشروع المنطق الحر","OLP; الاسم الرسمي مترجم دلاليًا","project name","internal linguistic review; independent review pending","2026-08-13","Codex","المفتوح يطابق open-source/open-access ولا يوحي بأن موضوع المنطق نفسه حر"
"Open Logic Text","نص المنطق المفتوح","chosen","كتاب المنطق المفتوح","OLT; أبقينا «نص» لأن الأصل يميز النص القابل لإعادة المزج من كتاب بعينه","work title","internal linguistic review; independent review pending","2026-08-13","Codex","ترجمة مباشرة ومتسقة مع الاسم المختصر في طبقة التوطين"
"formal meta-logic","المنطق الفوقي الصوري","chosen","الميتامنطق الشكلي","ما وراء المنطق; الميتامنطق","logic","internal subject review; expert review pending","2026-08-13","Codex","يفصل «الفوقي» مستوى دراسة النظم المنطقية عن المنطق الموضوع، ويحفظ «الصوري» وصف formal"
"formal methods","المناهج الصورية","chosen","الطرائق الشكلية","الأساليب الصورية","logic and computer science","internal subject review; expert review pending","2026-08-13","Codex","«صوري» هو المقابل الفلسفي المستقر لـ formal؛ «مناهج» يلائم الجمع المنهجي"
"rigorous","صارم","chosen","دقيق فقط","منضبط برهانيًا بحسب السياق","academic description","internal linguistic review; independent review pending","2026-08-13","Codex","يحفظ ادعاء الصرامة مع تجنب إضافة وصف برهاني غير مصرّح به"
"non-mathematical audience","جمهور غير متخصص في الرياضيات","chosen","جمهور غير رياضي","قراء لا يفترض فيهم التخصص الرياضي","audience","internal linguistic review; independent review pending","2026-08-13","Codex","يتجنب الإيحاء بأن القراء لا يستعملون الرياضيات مطلقًا"
"open source","مفتوح المصدر","chosen","حر المصدر","المصدر المفتوح","licensing and project practice","internal linguistic review; independent review pending","2026-08-13","Codex","الاصطلاح التقني العربي الأشيع والأقل التباسًا"
"LaTeX source","المصدر المكتوب بلغة LaTeX","chosen","شفرة لاتخ","ملفات LaTeX المصدرية","typesetting source","internal linguistic review; technical review pending","2026-08-13","Codex","لا يضيف مفهوم الشفرة إلى عبارة المصدر عند أول ظهور"
"Creative Commons Attribution 4.0 International License","رخصة المشاع الإبداعي: نَسْبُ المُصنَّف 4.0 الدولية","chosen","رخصة الإسناد الإبداعي","CC BY 4.0","license","official-name check; legal review not performed","2026-08-13","Codex","يتبع عنوان الصك العربي الرسمي المنشور من المشاع الإبداعي"
"appropriate credit","ينسبه إلى أصحابه على نحو ملائم","chosen","يذكر المصدر","النسب الملائم","attribution obligation","internal linguistic review; legal review not performed","2026-08-13","Codex","يحفظ شرط النسب ولا يختزله في مجرد ذكر رابط المصدر"
"theorem","مبرهنة","chosen","نظرية","—","formal logic","internal subject review; expert review pending","2026-08-13","Codex","يميز theorem من theory"
"lemma","قضية مساعدة","chosen","لمّة","مبرهنة مساعدة; توطئة","formal logic","internal subject review; expert review pending","2026-08-13","Codex","وصف عربي شفاف لوظيفة lemma ويتجنب اللفظ المنقول الملتبس في العربية العامة"
"proposition","قضية","chosen","افتراض","مقترحة","formal logic","internal subject review; expert review pending","2026-08-13","Codex","يحفظ معنى نتيجة خبرية مبرهَنة ولا يخلطه بـ assumption"
"corollary","نتيجة لازمة","chosen","لازمة","نتيجة; نتيجة تابعة","formal logic","internal subject review; expert review pending","2026-08-13","Codex","العبارة الكاملة أوضح في العناوين والمراجع"
"axiom","بديهية","chosen","موضوعة","مسلمة","formal logic","internal subject review; expert review pending","2026-08-13","Codex","المقابل الرياضي العربي الأشيع؛ وهو هنا اسم فني لمبدأ مفترض لا ادعاء بأنه واضح بذاته"
"convention","اصطلاح","chosen","اتفاقية","مواضعة","mathematical writing","internal subject review; expert review pending","2026-08-13","Codex","الاستعمال الأكاديمي العربي الطبيعي في إعلان اختيار ترميزي أو منهجي"
"further reading","قراءات إضافية","chosen","مزيد من القراءة","قراءات أخرى","front matter","internal linguistic review; independent review pending","2026-08-13","Codex","عنوان اسمي عربي موجز"
"photo credits","بيانات نسب الصور","chosen","حقوق الصور","إحالات الصور; نسب الصور","front matter and attribution","internal linguistic review; independent review pending","2026-08-13","Codex","لا يساوي credits بالحقوق القانونية ويصرح بوظيفة النسب"
"remixed by","أعاد مزجه","chosen","حرره","أعاد تركيبه","open educational resources","internal linguistic review; independent review pending","2026-08-13","Codex","يحفظ استعارة remix الخاصة بإعادة ترتيب مواد المشروع"
"computer science","علوم الحاسوب","chosen","علم الحاسوب","المعلوماتية","discipline","internal linguistic review; regional review pending","2026-08-13","Codex","صيغة مفهومة عبر الأقاليم وتوافق الجمع الاصطلاحي الشائع"
"editorial note","ملاحظة تحريرية","chosen","ملاحظة المحرر","تنبيه تحريري بحسب الوظيفة","document production","internal linguistic review; independent review pending","2026-08-13","Codex","تصف نوع الملاحظة من غير أن تنسبها إلى محرر فرد بعينه"
"logical operator","مؤثر منطقي","chosen","عامل منطقي","رابط منطقي عند الاقتصار على روابط منطق القضايا","formal logic","internal subject review; expert review pending","2026-08-13","Codex","يشمل الروابط والمكممات كما يقتضي سياق المشروع ولا يحصر المصطلح في العمليات البرمجية"
"primitive logical operator","مؤثر منطقي يُتخذ رمزًا أوليًا","chosen","مؤثر منطقي بدائي","مؤثر أولي; رمز أولي غير معرّف بواسطة مؤثرات أخرى","formal logic","internal subject review; expert review pending","2026-08-13","Codex","«أولي» يؤدي المعنى الفني لـ primitive ويتجنب الإيحاء التقويمي في «بدائي»"
"work in progress","عمل قيد التطوير","chosen","عمل تحت التنفيذ","مشروع لم يكتمل بعد","editorial status","internal linguistic review; independent review pending","2026-08-13","Codex","يحفظ التنبيه إلى عدم الاكتمال مع بيان أن العمل مستمر"
"driver file","ملف تشغيل","chosen","ملف قائد","ملف رئيس يضبط بناء مستند LaTeX","LaTeX document production","internal technical review; Arabic user review pending","2026-08-13","Codex","صياغة وظيفية مفهومة بدل النقل الحرفي الملتبس"
"derived textbook","كتاب دراسي مشتق","chosen","كتاب دراسي مستخرج","نسخة كتاب مشتقة من مواد المشروع","open educational resources","internal linguistic review; independent review pending","2026-08-13","Codex","يحفظ علاقة الاشتقاق وإعادة الاستخدام من المصدر ولا يوحي بمجرد الاستخراج الآلي"
"can be generate","يمكن بها توليد نص","source_erratum","يمكن أن يكون توليد نص","المقصود في المصدر: can be generated","source grammar","source defect verified; intended meaning translated; upstream correction pending","2026-08-13","Codex","في المصدر فعل generate بصيغته المجردة بعد can be؛ ترجمت العربية المعنى المبني للمجهول المقصود ولم تحاك الخطأ"
"Naive Set Theory","نظرية المجموعات الساذجة","chosen","نظرية المجموعات المبسطة; نظرية المجموعات الحدسية; نظرية المجموعات الفطرية","نظرية المجموعات غير المصاغة بديهيًا; عرض غير صوري لنظرية المجموعات","set theory","internal subject review; expert review pending","2026-08-13","Codex","«الساذجة» مقابل اصطلاحي لـ naive هنا بمعنى العرض غير الصوري أو غير المصاغ ضمن نسق بديهي؛ ولا تحمل حكمًا ازدرائيًا على النظرية أو دارسيها"
"Open Set Theory","نظرية المجموعات المفتوحة","chosen","نظرية المجموعات المنفتحة; نظرية المجموعات المفتوحة المصدر","Open Set Theory; العنوان التاريخي لكتاب تيم باتن، لا مبحث المجموعات المفتوحة في الطوبولوجيا","work title and open education","internal linguistic review; bibliographic review pending","2026-08-13","Codex","ترجمة مباشرة للعنوان كما يرد في المصدر؛ وإضافة «المصدر» تفسير زائد، أما التباس المقابل العربي بمصطلح طوبولوجي فيرفعه سياق اسم الكتاب"
"set","مجموعة","chosen","زمرة; طائفة","—","set theory","internal subject review; regional review pending","2026-08-13","Codex","الرأس العربي القياسي العابر للأقاليم؛ و«زمرة» محجوزة لـ group في الجبر فلا تصلح مرادفًا هنا"
"element; member","عنصر","chosen","جزء; مفردة","عضو: مرادف تقني مقبول عابر للأقاليم، لكنه ليس الرأس الموحّد في هذا النص","set theory","internal subject review; regional review pending","2026-08-13","Codex","يربط token المصدر element بصيغتي «عنصر/عناصر»؛ وتُفرغ أداة a/an لأن العربية لا تستعمل أداة تنكير مستقلة"
"empty set","المجموعة الخالية","chosen","المجموعة الصفرية","المجموعة الفارغة: مرادف مشرقي وارد؛ «الخالية» رأس موحّد موثق أيضًا في مراجع مغاربية","set theory","internal subject review; regional review pending","2026-08-13","Codex","يحفظ معنى انعدام العناصر ولا يوحي بأن الصفر عنصر المجموعة"
"extensionality","الامتدادية","chosen","التوسعية; التمددية","مبدأ تعيّن المجموعة بعناصرها: شرح وظيفي لا رأس بديل","set theory and logic","internal subject review; expert review pending","2026-08-13","Codex","المصطلح الفني يعبّر عن أن المجموعة تتحدد بامتدادها، أي بعناصرها، ويحفظ اتجاه الشرطين والعكس"
"perfect number","عدد تام","chosen","عدد مثالي","عدد كامل: مرادف مشرقي وارد؛ «عدد تام» موثق في مراجع مشرقية ومغاربية","number theory","internal subject review; regional review pending","2026-08-13","Codex","يعتمد الرأس الموجز المتداول ويحفظ التعريف بالمساواة بين العدد ومجموع قواسمه الفعلية"
"proper divisor","قاسم فعلي","chosen","قاسم مطابق","قاسم حقيقي: مرادف مشرقي وارد؛ «قاسم فعلي» موثق في مراجع مشرقية ومغاربية","number theory","internal subject review; regional review pending","2026-08-13","Codex","يحفظ الشرطين: أن يقسم العدد بلا باق وألا يساوي العدد نفسه"
"less than 10 versus 0 <= x <= 10","أقل من 10 في النثر؛ 0 <= x <= 10 في الصيغة","source_inconsistency_preserved","تغيير 10 إلى حد آخر أو توحيد العبارتين صامتًا","الاختلاف لا يغيّر المثال لأن 10 ليس عددًا تامًا، لكنه يظل اختلافًا حرفيًا في مجال الوصف","source mathematical prose and set-builder notation","source defect verified; upstream correction pending","2026-08-13","Codex","حُفظت عبارة «أصغر من 10» وحُفظت المتراجحتان الشاملتان 0 <= x <= 10 كما وردتا؛ لم يُصحح المصدر بلا سند"
"subset","مجموعة جزئية","chosen","جزء; مجموعة تابعة","مجموعة فرعية: مرشح مرادفي يحتاج ربطًا بمصدر؛ الاحتواء: اسم العلاقة لا اسم المجموعة","set theory","internal subject review; regional review pending","2026-08-13","Codex","يحفظ الفرق بين انتماء عنصر إلى مجموعة بالرمز ∈ وكون مجموعة جزئية من أخرى بالرمز ⊆"
